* Source:
*
*   http://www.belgocontrol.be/
*
*   AIP Part 2 EN-ROUTE (ENR)
*   ENR 2 AIR TRAFFIC SERVICES AIRSPACE
*    ENR 2.1 FIR, UIR, TMA
*
*   Belgian border data was extracted from
*   http://downloads.cloudmade.com/europe/western_europe/belgium/belgium.poly
*
* Last check: 
*
*   Wim Verhoeve (17 December 2011)
*
* Map List:
* 
*   MAP WEEK           YES
*   MAP WEEKEND        YES
*   MAP WEEKEND_LFAG1  YES
*   MAP WEEKEND_LFAG2  YES
*   MAP WEEKEND_LFAG5  YES
*
* Remark for paragliders:
*   - This is the whole of Belgian airspace => not relevant for paragliding

AC G
AN Brussels FIR
AH FL 195
AL GND
DP 51.320595 N 5.181320 E
DP 51.321407 N 5.198293 E
DP 51.323513 N 5.209944 E
DP 51.313103 N 5.233011 E
DP 51.305294 N 5.245736 E
DP 51.287891 N 5.237625 E
DP 51.273109 N 5.228398 E
DP 51.267097 N 5.230200 E
DP 51.261906 N 5.240521 E
DP 51.266907 N 5.264876 E
DP 51.264587 N 5.279381 E
DP 51.263794 N 5.334098 E
DP 51.272892 N 5.357637 E
DP 51.261093 N 5.420680 E
DP 51.266304 N 5.428040 E
DP 51.271305 N 5.432975 E
DP 51.273903 N 5.441601 E
DP 51.278793 N 5.447803 E
DP 51.282097 N 5.456858 E
DP 51.283794 N 5.468874 E
DP 51.287998 N 5.480697 E
DP 51.297398 N 5.489473 E
DP 51.297699 N 5.496082 E
DP 51.292999 N 5.512884 E
DP 51.266499 N 5.551486 E
DP 51.228798 N 5.560262 E
DP 51.216911 N 5.576870 E
DP 51.209099 N 5.615065 E
DP 51.199894 N 5.651565 E
DP 51.186398 N 5.655363 E
DP 51.181313 N 5.709565 E
DP 51.182705 N 5.717182 E
DP 51.181999 N 5.722675 E
DP 51.190002 N 5.749197 E
DP 51.187599 N 5.763080 E
DP 51.181313 N 5.782692 E
DP 51.177708 N 5.781662 E
DP 51.174595 N 5.784130 E
DP 51.169594 N 5.780568 E
