* Source:
*
*   http://www.belgocontrol.be/
*
*   AIP Part 2 EN-ROUTE (ENR)
*   ENR 2 AIR TRAFFIC SERVICES AIRSPACE
*    ENR 2.1 FIR, UIR, TMA
*
*   Belgian border data was extracted from
*   http://downloads.cloudmade.com/europe/western_europe/belgium/belgium.poly
*
* Last check: 
*
*   Wim Verhoeve (17 December 2011)
*
* Map List:
* 
*   MAP WEEK           YES
*   MAP WEEKEND        YES
*   MAP WEEKEND_LFAG1  YES
*   MAP WEEKEND_LFAG2  YES
*   MAP WEEKEND_LFAG5  YES
*
* Remark for paragliders:
*   - This is the whole of Belgian airspace => not relevant for paragliding

AC G
AN Brussels FIR
AH FL 195
AL GND
DP 49.514801 N 5.851851 E
DP 49.520596 N 5.845349 E
DP 49.527397 N 5.841894 E
DP 49.533104 N 5.837367 E
DP 49.540592 N 5.834706 E
DP 49.538704 N 5.820651 E
* END French-Luxembourg border
DP 49:32:47 N 005:49:07 E
* START Belgian-French border
DP 49.551407 N 5.807755 E
DP 49.560593 N 5.765355 E
DP 49.557693 N 5.754862 E
DP 49.544392 N 5.744541 E
DP 49.541302 N 5.699351 E
DP 49.550400 N 5.670469 E
DP 49.550507 N 5.649569 E
DP 49.530403 N 5.619550 E
DP 49.509007 N 5.609164 E
DP 49.529308 N 5.560970 E
DP 49.527096 N 5.546873 E
DP 49.512806 N 5.526960 E
DP 49.508793 N 5.484281 E
DP 49.499504 N 5.469582 E
DP 49.517506 N 5.453575 E
DP 49.536194 N 5.468080 E
DP 49.550400 N 5.450978 E
DP 49.564091 N 5.450377 E
DP 49.600697 N 5.423470 E
DP 49.628593 N 5.362079 E
DP 49.627907 N 5.345900 E
DP 49.616791 N 5.327897 E
DP 49.617607 N 5.312490 E
DP 49.635094 N 5.306182 E
DP 49.655392 N 5.330086 E
DP 49.695004 N 5.267301 E
DP 49.695198 N 5.254791 E
DP 49.690197 N 5.245500 E
DP 49.691589 N 5.216210 E
DP 49.697792 N 5.204194 E
DP 49.697105 N 5.171492 E
DP 49.716805 N 5.156794 E
DP 49.717213 N 5.143404 E
DP 49.711803 N 5.136108 E
DP 49.717705 N 5.123899 E
DP 49.744698 N 5.112097 E
DP 49.758991 N 5.095704 E
DP 49.771992 N 5.038519 E
DP 49.804310 N 4.986420 E
DP 49.803299 N 4.954319 E
DP 49.790405 N 4.916725 E
DP 49.796005 N 4.874711 E
DP 49.794010 N 4.855313 E
DP 49.801605 N 4.855914 E
DP 49.820511 N 4.874325 E
DP 49.841408 N 4.866514 E
DP 49.847996 N 4.855313 E
DP 49.863594 N 4.854219 E
DP 49.900009 N 4.885225 E
DP 49.910309 N 4.887500 E
DP 49.920803 N 4.882929 E
DP 49.949898 N 4.846022 E
DP 49.954491 N 4.809823 E
DP 49.962193 N 4.792721 E
DP 49.979702 N 4.787915 E
DP 49.988800 N 4.812913 E
DP 50.000496 N 4.819651 E
DP 50.028690 N 4.822333 E
DP 50.043606 N 4.841130 E
DP 50.055107 N 4.826624 E
DP 50.066994 N 4.825122 E
DP 50.074802 N 4.839714 E
DP 50.100704 N 4.847138 E
DP 50.100101 N 4.859025 E
DP 50.088707 N 4.870634 E
DP 50.090187 N 4.879625 E
DP 50.106606 N 4.871020 E
DP 50.124802 N 4.871321 E
DP 50.137096 N 4.894023 E
DP 50.151001 N 4.874625 E
DP 50.159306 N 4.819930 E
DP 50.139801 N 4.774911 E
DP 50.112289 N 4.745944 E
DP 50.097805 N 4.713628 E
DP 50.081390 N 4.691334 E
DP 50.067810 N 4.686441 E
DP 50.058601 N 4.702234 E
DP 50.048603 N 4.705431 E
DP 50.028606 N 4.692321 E
DP 50.000496 N 4.690626 E
DP 49.990688 N 4.683738 E
DP 49.985497 N 4.672322 E
DP 49.984898 N 4.622734 E
DP 49.978394 N 4.588144 E
DP 49.943588 N 4.508235 E
DP 49.935692 N 4.463153 E
DP 49.936211 N 4.440365 E
DP 49.940006 N 4.414165 E
DP 49.949490 N 4.390047 E
DP 49.951294 N 4.353569 E
DP 49.965797 N 4.325159 E
DP 49.960091 N 4.199159 E
DP 49.974487 N 4.186370 E
DP 49.981293 N 4.149270 E
DP 50.000412 N 4.152145 E
DP 50.016312 N 4.138477 E
DP 50.041500 N 4.154677 E
DP 50.046200 N 4.162166 E
DP 50.050491 N 4.193859 E
DP 50.070492 N 4.225960 E
DP 50.083710 N 4.222269 E
DP 50.110210 N 4.197764 E
DP 50.122997 N 4.200468 E
DP 50.132095 N 4.193473 E
DP 50.133598 N 4.163089 E
DP 50.125595 N 4.142876 E
DP 50.128899 N 4.130580 E
DP 50.143295 N 4.133971 E
DP 50.162502 N 4.154785 E
DP 50.208809 N 4.158390 E
DP 50.238098 N 4.191585 E
DP 50.250992 N 4.214566 E
DP 50.269897 N 4.211562 E
DP 50.277000 N 4.183173 E
DP 50.286999 N 4.167874 E
DP 50.280907 N 4.160879 E
DP 50.260605 N 4.163260 E
DP 50.258804 N 4.139078 E
DP 50.277493 N 4.126074 E
DP 50.298908 N 4.120967 E
DP 50.309895 N 4.103479 E
DP 50.313004 N 4.079275 E
DP 50.353691 N 4.032969 E
DP 50.347210 N 3.999689 E
DP 50.338409 N 3.991492 E
DP 50.337898 N 3.966794 E
DP 50.321308 N 3.911498 E
DP 50.324894 N 3.888087 E
DP 50.346695 N 3.838799 E
DP 50.341610 N 3.748012 E
DP 50.332512 N 3.732305 E
DP 50.306999 N 3.724902 E
DP 50.310493 N 3.707500 E
DP 50.300301 N 3.702006 E
DP 50.309208 N 3.683209 E
DP 50.359203 N 3.656795 E
DP 50.391197 N 3.671708 E
DP 50.445507 N 3.654714 E
DP 50.458897 N 3.640423 E
DP 50.489109 N 3.604825 E
DP 50.485695 N 3.572230 E
DP 50.493401 N 3.558927 E
DP 50.480999 N 3.509037 E
DP 50.481491 N 3.494511 E
DP 50.490288 N 3.491335 E
DP 50.513206 N 3.507836 E
DP 50.525803 N 3.497322 E
DP 50.520203 N 3.464041 E
DP 50.497993 N 3.430438 E
DP 50.496899 N 3.399839 E
DP 50.489902 N 3.366923 E
DP 50.527004 N 3.281651 E
DP 50.536507 N 3.274548 E
DP 50.594894 N 3.274248 E
DP 50.632103 N 3.246245 E
DP 50.655899 N 3.239443 E
DP 50.668797 N 3.243756 E
DP 50.676006 N 3.255837 E
DP 50.694500 N 3.248949 E
DP 50.707397 N 3.237147 E
DP 50.715809 N 3.203437 E
DP 50.736710 N 3.191657 E
DP 50.752693 N 3.174748 E
DP 50.778099 N 3.147948 E
DP 50.780697 N 3.138850 E
DP 50.772392 N 3.081257 E
DP 50.773510 N 3.046453 E
DP 50.768295 N 3.023837 E
DP 50.761902 N 3.001070 E
DP 50.749603 N 2.973969 E
DP 50.747608 N 2.945473 E
DP 50.711197 N 2.917364 E
DP 50.700897 N 2.905262 E
DP 50.699200 N 2.893674 E
DP 50.709606 N 2.862496 E
DP 50.722309 N 2.829580 E
DP 50.728405 N 2.786279 E
DP 50.748295 N 2.776387 E
DP 50.753704 N 2.764370 E
DP 50.771297 N 2.754371 E
DP 50.784687 N 2.733879 E
DP 50.811295 N 2.718194 E
DP 50.813591 N 2.689376 E
DP 50.819794 N 2.670600 E
DP 50.818504 N 2.653670 E
DP 50.811508 N 2.641375 E
DP 50.814106 N 2.627900 E
DP 50.836292 N 2.621891 E
DP 50.852707 N 2.601078 E
DP 50.867599 N 2.615690 E
DP 50.905602 N 2.609296 E
DP 50.919701 N 2.597709 E
DP 50.941200 N 2.625883 E
DP 50.950790 N 2.630775 E
DP 50.985512 N 2.609103 E
DP 51.002998 N 2.579985 E
* END Belgian-French border
DP 51:05:21 N 002:32:44 E
